suhu,kelembapan,lux,hujan
32,70.4,100000,1
31,70.8,97289.27,0
32,72.4,100000,1
28,88.5,40823.6,0
30,71.2,77024.67,0
28,84.7,40063.82,0
32,63.9,86283.26,0
27,97.2,8004.63,0
29,86.4,44846.06,1
28,96.9,22478.53,0
29,88.7,46394.78,1
27,92.3,26175.38,0
32,76.3,70012.81,1
27,100,14010.04,1
26,99.5,5383.39,0
27,93.5,16192.16,0
32,64.7,78611.42,0
27,92.5,15751.02,0
26,98.5,3271.9,0
32,73.3,93874.47,0
26,99.2,186.99,1
27,96.5,17799.61,0
29,96.8,42157.06,0
32,66.4,100000,0
31,76.9,64344.73,0
30,73.4,60742.1,0
26,100,3595.27,1
26,100,4179.2,0
30,78.9,67877.24,0
27,91.4,16848.75,0
29,86.9,47834.56,0
28,97.5,30560.63,0
30,83.4,64728.33,1
28,95.2,29439.03,0
30,79,58540.5,0
26,100,1926.13,1
31,78.5,58479.62,1
26,91.5,8548.04,0
27,100,11443.54,0
29,84.2,60461.93,1
30,77.4,68621.72,0
30,75.2,54459.65,1
30,71.6,87380.84,1
32,81.2,76195.45,1
27,92.3,23814.8,0
31,67.8,89264.04,0
32,72.3,100000,0
32,69.6,84497.55,1
29,90,44968.26,0
28,99.7,27458.16,0
27,91.5,24330.09,0
30,86.5,71578.23,0
26,94.3,2346.16,0
29,89.7,50874.35,1
28,93.5,32927.24,0
31,65.8,86000.63,0
26,100,0,1
29,96.2,43700.48,0
28,92,30749.06,1
28,82.8,37941.4,0
28,100,30613.66,0
32,82.7,95269.91,1
31,87.2,68782.29,0
28,90.7,28383.28,1
30,83.1,65301.98,0
29,84.3,46626.54,1
29,88.5,37022.03,0
31,85.1,58987.36,1
30,78.1,66478.61,0
32,65.7,92348.12,0
30,89.7,68880.86,0
32,71.1,96210.75,1
31,85.6,68465.4,1
29,80.3,44931.51,1
28,81.1,43664.69,0
26,96.8,364.05,1
32,78.6,82732.01,0
32,74.2,89960.88,0
30,77.3,66221.55,1
29,95.9,42348.26,0
32,67.9,76590.37,1
27,99.9,9049.18,0
29,88.9,55560.43,1
28,98.6,26423.27,0
31,64.9,89612.42,0
27,92.8,18976.75,1
28,97.8,30712.48,0
30,75.5,67603.28,0
26,100,2306.21,0
27,96.3,20811.35,0
30,92.4,58388.39,0
28,95.5,25224.41,1
27,98.9,8579.49,0
27,100,6304.99,0
29,87,54296.43,1
30,90.1,55294.61,0
31,79.5,90880.8,0
27,93.4,20016.92,0
26,96.7,3.61,1
26,100,0,1
29,76.1,59640.11,0
27,88.6,18264.11,0
32,72.1,86099.03,0
29,86.5,50041.22,1
29,77.8,49356.13,1
29,94,40844.77,0
31,80,76170.58,0
27,100,13165.68,0
27,100,16022.48,0
28,97.4,21619.41,1
29,96.6,35763.66,0
29,87.9,47454.6,1
29,75.5,64007.27,0
29,89.7,50276.28,0
26,95.9,0,1
32,66.7,91847.63,0
32,75.9,99636.98,0
27,97.7,10647.85,1
32,67.1,100000,0
32,66.2,97299.98,1
29,86.2,47977.09,0
27,93.4,24496.57,1
32,78,78817.67,1
30,77.9,62813.71,0
32,74.3,78142.21,1
29,87.3,39417.81,0
32,85.6,87649.07,0
27,100,13041.24,0
31,67.6,88231.52,1
32,64.1,95648.41,0
28,84.7,34733.49,0
29,84.4,38838.85,1
30,89.9,60034.66,0
29,83.8,46610.33,0
27,100,16610.53,1
31,81.7,61439.51,1
26,94.6,4264.48,1
31,74.7,73485.72,1
26,100,753.23,1
31,79.6,68277.66,0
32,73.3,74727.17,1
32,79.2,84711.1,1
29,75.2,44146.94,0
26,96.4,7612.44,0
27,93.2,20934.55,0
31,77,78948.41,0
27,93.4,17051.65,0
26,100,0,1
29,88.7,44365.36,0
31,65.1,96773.78,0
27,98.8,17105.56,0
29,89.4,40742.82,0
30,90.3,59867.9,0
32,66.3,95448.57,1
31,73.3,72221.62,0
32,78.8,94238.21,1
30,92.2,47173.98,0
27,100,18953.51,1
30,91.5,63865.38,0
32,67.1,94214.94,0
30,87.7,48338.55,1
29,85.9,51523.19,0
30,74.3,68779.7,0
29,75.6,57923.09,0
32,68.7,93322.27,0
26,100,1613.77,1
32,74.3,95445.9,0
31,87.3,81614.35,1
30,69.4,65155.98,1
30,71,61274.65,0
30,83,69412.36,0
30,89.5,69901.06,0
26,99.7,0,0
26,99.5,0,1
27,95.3,11807.78,0
26,91.2,6288.24,1
26,100,0,0
30,82.1,67003.67,0
28,97.4,23253.67,0
28,91.7,24478.05,1
31,77.1,88330.85,1
31,74.4,80417.18,0
26,99.5,1575.2,0
32,65.9,93149,0
32,67,100000,1
27,96.3,14045.02,0
32,88.5,86273.06,1
32,83.1,83009.94,0
26,95.1,6661.85,0
28,96,32023.03,1
30,82,57919.4,0
30,87.7,56490.01,1
27,95.8,19316.53,1
28,91.7,20694.87,0
29,91.6,45427.39,1
27,97.4,17007.75,0
31,87.1,79804.37,0
30,84,56145.32,0
29,84.3,41178.49,0
27,95.2,14887.13,0
27,100,13773.09,1
32,70.5,85815.35,0
26,96.2,0,1
27,89.3,19979.83,0
29,93.8,46180.93,1
27,95.6,10955.28,0
26,96,1008.87,1
32,81.8,87093.27,0
31,73.5,100000,0
27,87.3,21599.1,0
28,92.3,37290.53,0
31,88.1,57976.3,1
28,100,21768.49,1
28,88.5,27041.45,1
32,71.3,85212.41,0
31,81.4,94744.7,1
27,95.8,16003.73,0
29,90.5,51107.38,0
28,88,35078.58,1
29,76.7,45852.62,0
32,74.4,100000,0
32,75.5,100000,1
27,100,14803.49,1
27,92,13938.63,0
32,66.3,100000,0
29,84.7,43838.01,0
29,94.4,40637.13,1
28,93.3,28194.4,0
30,95.3,43502.08,0
26,94.6,5375.97,0
29,91.1,46121.82,0
28,89.2,36289.94,1
29,88.3,45917.59,0
31,88.8,71861.17,1
28,91.3,29198.67,0
28,86.4,33575.06,0
29,85.5,46860.89,0
27,94.8,16309.58,1
29,82.3,48870.71,1
27,100,7289.22,1
32,71,100000,1
29,88.8,41908.14,0
29,90.8,39176.49,0
29,92.7,43613.09,0
32,67.9,88657.76,0
31,74.6,83660.99,1
29,86.3,35845.78,0
32,65.2,94570.24,1
26,96.2,2217.16,0
26,96.7,4358.56,0
30,82.9,62153.11,0
30,87.6,62782.06,1
31,74,93972.84,1
26,98.5,1767.7,1
26,89.7,8457.96,0
30,81.2,57395.56,0
27,88.1,19417.91,0
28,83.6,40990.23,0
31,75.4,92372.1,0
27,85.2,20969.51,1
31,75.6,68692.03,0
30,87.1,55329.74,1
27,100,12078.78,0
29,85.7,44659.86,0
30,81.7,53548,0
28,100,26976.16,0
28,91.5,34214.65,1
30,82.1,65088.54,1
29,78.8,53809.68,0
26,95.1,1982.99,1
29,83.2,50502.41,0
29,92.5,39347.61,0
28,95.9,25877.76,0
31,73.5,86038.96,0
27,95.5,16018.57,0
31,78.8,81387.26,1
27,100,11268.91,0
27,93.5,17482.31,0
28,90.7,38343.84,0
28,91.5,31917.61,0
31,66.2,92921.2,0
28,93.6,29356.34,1
26,93.6,5907.47,0
31,76.2,87697.75,0
26,96.6,0,0
27,92,18629.62,1
29,82.5,52160.8,1
29,91.7,48505.73,0
29,90,38169.75,1
27,100,20810.55,0
32,77.5,81026.55,0
29,91.3,51417.08,0
27,94.4,17951.31,0
28,84.3,31270.32,1
30,87.6,54452.5,0
32,64.5,100000,0
31,75.4,76061.16,1
27,99.4,16556.55,0
26,92,8899.18,0
27,100,14061.93,0
